COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
Santa Clara,2018,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Cruz,2018,Race/ethnicity,AI/AN,All ages,0,0,
Shasta,2018,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2018,Race/ethnicity,AI/AN,All ages,0,0,
Siskiyou,2018,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2018,Race/ethnicity,AI/AN,All ages,0,0,
Sonoma,2018,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Stanislaus,2018,Race/ethnicity,AI/AN,All ages,0,0,
Sutter,2018,Race/ethnicity,AI/AN,All ages,0,0,
Tehama,2018,Race/ethnicity,AI/AN,All ages,0,0,
Trinity,2018,Race/ethnicity,AI/AN,All ages,0,0,
Tulare,2018,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tuolumne,2018,Race/ethnicity,AI/AN,All ages,0,0,
Ventura,2018,Race/ethnicity,AI/AN,All ages,0,0,
Yolo,2018,Race/ethnicity,AI/AN,All ages,0,0,
Yuba,2018,Race/ethnicity,AI/AN,All ages,0,0,
California,2019,Total population,All ages,All ages,"17,594",4.5,
Alameda,2019,Total population,All ages,All ages,711,4.4,
Alpine,2019,Total population,All ages,All ages,0,0,
Amador,2019,Total population,All ages,All ages,11,,Rate not available due to statistical instability
Butte,2019,Total population,All ages,All ages,111,5.3,
Calaveras,2019,Total population,All ages,All ages,15,4.3,
Colusa,2019,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2019,Total population,All ages,All ages,477,4.2,
Del Norte,2019,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Total population,All ages,All ages,66,4,
Fresno,2019,Total population,All ages,All ages,608,5.8,
Glenn,2019,Total population,All ages,All ages,13,4.5,
Humboldt,2019,Total population,All ages,All ages,55,4.1,
Imperial,2019,Total population,All ages,All ages,125,6,
Inyo,2019,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2019,Total population,All ages,All ages,353,3.8,
Kings,2019,Total population,All ages,All ages,66,4.3,
Lake,2019,Total population,All ages,All ages,48,8.8,
Lassen,2019,Total population,All ages,All ages,13,4.6,
Los Angeles,2019,Total population,All ages,All ages,"5,426",5.4,
Madera,2019,Total population,All ages,All ages,60,3.6,
Marin,2019,Total population,All ages,All ages,54,2.3,
Mariposa,2019,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2019,Total population,All ages,All ages,31,3.8,
Merced,2019,Total population,All ages,All ages,123,4.5,
Modoc,2019,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2019,Total population,All ages,All ages,12,12,
Monterey,2019,Total population,All ages,All ages,185,4.1,
Napa,2019,Total population,All ages,All ages,21,1.4,
Nevada,2019,Total population,All ages,All ages,33,4.4,
Orange,2019,Total population,All ages,All ages,"1,062",3.4,
Placer,2019,Total population,All ages,All ages,112,3.3,
Plumas,2019,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2019,Total population,All ages,All ages,937,3.9,
Sacramento,2019,Total population,All ages,All ages,816,5.5,
San Benito,2019,Total population,All ages,All ages,18,2.9,
San Bernardino,2019,Total population,All ages,All ages,"1,078",4.9,
San Diego,2019,Total population,All ages,All ages,"1,412",4.2,
San Francisco,2019,Total population,All ages,All ages,414,5.3,
San Joaquin,2019,Total population,All ages,All ages,381,5,
San Luis Obispo,2019,Total population,All ages,All ages,80,3.5,
San Mateo,2019,Total population,All ages,All ages,202,2.5,
Santa Barbara,2019,Total population,All ages,All ages,108,2.4,
Santa Clara,2019,Total population,All ages,All ages,631,3.1,
Santa Cruz,2019,Total population,All ages,All ages,82,3,
Shasta,2019,Total population,All ages,All ages,40,2.5,
Sierra,2019,Total population,All ages,All ages,0,0,
Siskiyou,2019,Total population,All ages,All ages,13,2.7,
Solano,2019,Total population,All ages,All ages,140,3.1,
Sonoma,2019,Total population,All ages,All ages,114,2.3,
Stanislaus,2019,Total population,All ages,All ages,317,5.9,
Sutter,2019,Total population,All ages,All ages,36,3.6,
Tehama,2019,Total population,All ages,All ages,25,4.5,
Trinity,2019,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2019,Total population,All ages,All ages,210,4.2,
Tuolumne,2019,Total population,All ages,All ages,21,5.4,
Ventura,2019,Total population,All ages,All ages,252,3,
Yolo,2019,Total population,All ages,All ages,57,2.8,
Yuba,2019,Total population,All ages,All ages,31,3.9,
California,2019,Child vs. adult,0–17 years,0–17 years,"7,670",8.3,
Alameda,2019,Child vs. adult,0–17 years,0–17 years,294,8.3,
Alpine,2019,Child vs. adult,0–17 years,0–17 years,0,0,
Amador,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2019,Child vs. adult,0–17 years,0–17 years,41,9,
Calaveras,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2019,Child vs. adult,0–17 years,0–17 years,184,7.6,
Del Norte,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Child vs. adult,0–17 years,0–17 years,22,7.4,
Fresno,2019,Child vs. adult,0–17 years,0–17 years,356,12.5,
Glenn,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2019,Child vs. adult,0–17 years,0–17 years,14,5,
Imperial,2019,Child vs. adult,0–17 years,0–17 years,89,15.7,
Inyo,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2019,Child vs. adult,0–17 years,0–17 years,186,7.2,
Kings,2019,Child vs. adult,0–17 years,0–17 years,38,8.4,
Lake,2019,Child vs. adult,0–17 years,0–17 years,23,16.8,
Lassen,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2019,Child vs. adult,0–17 years,0–17 years,"2,285",10,
Madera,2019,Child vs. adult,0–17 years,0–17 years,37,8.8,
Marin,2019,Child vs. adult,0–17 years,0–17 years,26,5.6,
Mariposa,2019,Child vs. adult,0–17 years,0–17 years,0,0,
Mendocino,2019,Child vs. adult,0–17 years,0–17 years,18,9.5,
Merced,2019,Child vs. adult,0–17 years,0–17 years,51,6.5,
Modoc,2019,Child vs. adult,0–17 years,0–17 years,0,0,
Mono,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Child vs. adult,0–17 years,0–17 years,83,7.1,
Napa,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2019,Child vs. adult,0–17 years,0–17 years,16,10.4,
Orange,2019,Child vs. adult,0–17 years,0–17 years,452,6.4,
Placer,2019,Child vs. adult,0–17 years,0–17 years,59,8.2,
Plumas,2019,Child vs. adult,0–17 years,0–17 years,0,0,
Riverside,2019,Child vs. adult,0–17 years,0–17 years,421,7.1,
Sacramento,2019,Child vs. adult,0–17 years,0–17 years,394,10.9,
San Benito,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2019,Child vs. adult,0–17 years,0–17 years,502,8.7,
San Diego,2019,Child vs. adult,0–17 years,0–17 years,725,8.8,
San Francisco,2019,Child vs. adult,0–17 years,0–17 years,163,11.3,
San Joaquin,2019,Child vs. adult,0–17 years,0–17 years,188,9.5,
San Luis Obispo,2019,Child vs. adult,0–17 years,0–17 years,43,8.7,
San Mateo,2019,Child vs. adult,0–17 years,0–17 years,83,5.1,
Santa Barbara,2019,Child vs. adult,0–17 years,0–17 years,41,3.9,
Santa Clara,2019,Child vs. adult,0–17 years,0–17 years,231,5.2,
Santa Cruz,2019,Child vs. adult,0–17 years,0–17 years,34,5.7,
Shasta,2019,Child vs. adult,0–17 years,0–17 years,27,7.2,
Sierra,2019,Child vs. adult,0–17 years,0–17 years,0,0,
Siskiyou,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2019,Child vs. adult,0–17 years,0–17 years,46,4.7,
Sonoma,2019,Child vs. adult,0–17 years,0–17 years,42,4.4,
Stanislaus,2019,Child vs. adult,0–17 years,0–17 years,135,9.2,
Sutter,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2019,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2019,Child vs. adult,0–17 years,0–17 years,126,8.9,
Tuolumne,2019,Child vs. adult,0–17 years,0–17 years,11,,Rate not available due to statistical instability
Ventura,2019,Child vs. adult,0–17 years,0–17 years,72,3.8,
Yolo,2019,Child vs. adult,0–17 years,0–17 years,23,4.6,
Yuba,2019,Child vs. adult,0–17 years,0–17 years,11,,Rate not available due to statistical instability
California,2019,Child vs. adult,18+ years,18+ years,"9,924",3.1,
Alameda,2019,Child vs. adult,18+ years,18+ years,417,3.1,
Alpine,2019,Child vs. adult,18+ years,18+ years,0,0,
Amador,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2019,Child vs. adult,18+ years,18+ years,70,4.1,
Calaveras,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2019,Child vs. adult,18+ years,18+ years,293,3,
Del Norte,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Child vs. adult,18+ years,18+ years,44,2.8,
Fresno,2019,Child vs. adult,18+ years,18+ years,252,3.5,
Glenn,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2019,Child vs. adult,18+ years,18+ years,41,3.9,
Imperial,2019,Child vs. adult,18+ years,18+ years,36,2.6,
Inyo,2019,Child vs. adult,18+ years,18+ years,0,0,
Kern,2019,Child vs. adult,18+ years,18+ years,167,2.6,
Kings,2019,Child vs. adult,18+ years,18+ years,28,2.9,
Lake,2019,Child vs. adult,18+ years,18+ years,25,6,
Lassen,2019,Child vs. adult,18+ years,18+ years,12,5.4,
Los Angeles,2019,Child vs. adult,18+ years,18+ years,"3,141",3.8,
Madera,2019,Child vs. adult,18+ years,18+ years,23,1.9,
Marin,2019,Child vs. adult,18+ years,18+ years,28,1.2,
Mariposa,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2019,Child vs. adult,18+ years,18+ years,13,1.8,
Merced,2019,Child vs. adult,18+ years,18+ years,72,3.7,
Modoc,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Child vs. adult,18+ years,18+ years,102,3.1,
Napa,2019,Child vs. adult,18+ years,18+ years,17,1.3,
Nevada,2019,Child vs. adult,18+ years,18+ years,17,2.3,
Orange,2019,Child vs. adult,18+ years,18+ years,610,2.4,
Placer,2019,Child vs. adult,18+ years,18+ years,53,1.6,
Plumas,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2019,Child vs. adult,18+ years,18+ years,516,2.8,
Sacramento,2019,Child vs. adult,18+ years,18+ years,422,3.6,
San Benito,2019,Child vs. adult,18+ years,18+ years,12,2.4,
San Bernardino,2019,Child vs. adult,18+ years,18+ years,576,3.6,
San Diego,2019,Child vs. adult,18+ years,18+ years,687,2.6,
San Francisco,2019,Child vs. adult,18+ years,18+ years,251,3.2,
San Joaquin,2019,Child vs. adult,18+ years,18+ years,193,3.4,
San Luis Obispo,2019,Child vs. adult,18+ years,18+ years,37,1.7,
San Mateo,2019,Child vs. adult,18+ years,18+ years,119,1.7,
Santa Barbara,2019,Child vs. adult,18+ years,18+ years,67,1.9,
Santa Clara,2019,Child vs. adult,18+ years,18+ years,400,2.4,
Santa Cruz,2019,Child vs. adult,18+ years,18+ years,48,2.1,
Shasta,2019,Child vs. adult,18+ years,18+ years,13,0.9,
Sierra,2019,Child vs. adult,18+ years,18+ years,0,0,
Siskiyou,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2019,Child vs. adult,18+ years,18+ years,94,2.6,
Sonoma,2019,Child vs. adult,18+ years,18+ years,72,1.6,
Stanislaus,2019,Child vs. adult,18+ years,18+ years,182,4.7,
Sutter,2019,Child vs. adult,18+ years,18+ years,27,3.5,
Tehama,2019,Child vs. adult,18+ years,18+ years,15,3.7,
Trinity,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2019,Child vs. adult,18+ years,18+ years,84,2.6,
Tuolumne,2019,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2019,Child vs. adult,18+ years,18+ years,180,2.7,
Yolo,2019,Child vs. adult,18+ years,18+ years,34,2.1,
Yuba,2019,Child vs. adult,18+ years,18+ years,20,3.5,
California,2019,Age groups,0–4 years,0–4 years,"3,641",14.8,
Alameda,2019,Age groups,0–4 years,0–4 years,147,15.1,
Alpine,2019,Age groups,0–4 years,0–4 years,0,0,
Amador,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2019,Age groups,0–4 years,0–4 years,25,20.4,
Calaveras,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2019,Age groups,0–4 years,0–4 years,92,14.2,
Del Norte,2019,Age groups,0–4 years,0–4 years,0,0,
El Dorado,2019,Age groups,0–4 years,0–4 years,12,15.2,
Fresno,2019,Age groups,0–4 years,0–4 years,180,23.5,
Glenn,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2019,Age groups,0–4 years,0–4 years,26,16.2,
Inyo,2019,Age groups,0–4 years,0–4 years,0,0,
Kern,2019,Age groups,0–4 years,0–4 years,89,12.8,
Kings,2019,Age groups,0–4 years,0–4 years,14,12.4,
Lake,2019,Age groups,0–4 years,0–4 years,14,38.2,
Lassen,2019,Age groups,0–4 years,0–4 years,0,0,
Los Angeles,2019,Age groups,0–4 years,0–4 years,"1,048",17.2,
Madera,2019,Age groups,0–4 years,0–4 years,22,19.6,
Marin,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2019,Age groups,0–4 years,0–4 years,0,0,
Mendocino,2019,Age groups,0–4 years,0–4 years,11,,Rate not available due to statistical instability
Merced,2019,Age groups,0–4 years,0–4 years,23,11.1,
Modoc,2019,Age groups,0–4 years,0–4 years,0,0,
Mono,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Age groups,0–4 years,0–4 years,43,13.7,
Napa,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2019,Age groups,0–4 years,0–4 years,11,,Rate not available due to statistical instability
Orange,2019,Age groups,0–4 years,0–4 years,236,12.6,
Placer,2019,Age groups,0–4 years,0–4 years,32,17,
Plumas,2019,Age groups,0–4 years,0–4 years,0,0,
Riverside,2019,Age groups,0–4 years,0–4 years,203,12.9,
Sacramento,2019,Age groups,0–4 years,0–4 years,155,15.8,
San Benito,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2019,Age groups,0–4 years,0–4 years,199,13.1,
San Diego,2019,Age groups,0–4 years,0–4 years,351,15.9,
San Francisco,2019,Age groups,0–4 years,0–4 years,84,19.2,
San Joaquin,2019,Age groups,0–4 years,0–4 years,101,19.2,
San Luis Obispo,2019,Age groups,0–4 years,0–4 years,19,14.4,
San Mateo,2019,Age groups,0–4 years,0–4 years,41,9.2,
Santa Barbara,2019,Age groups,0–4 years,0–4 years,14,5,
Santa Clara,2019,Age groups,0–4 years,0–4 years,127,10.7,
Santa Cruz,2019,Age groups,0–4 years,0–4 years,17,11.3,
Shasta,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2019,Age groups,0–4 years,0–4 years,0,0,
Siskiyou,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2019,Age groups,0–4 years,0–4 years,25,9.5,
Sonoma,2019,Age groups,0–4 years,0–4 years,30,11.8,
Stanislaus,2019,Age groups,0–4 years,0–4 years,53,13.6,
Sutter,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2019,Age groups,0–4 years,0–4 years,0,0,
Tulare,2019,Age groups,0–4 years,0–4 years,66,17.9,
Tuolumne,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2019,Age groups,0–4 years,0–4 years,45,9,
Yolo,2019,Age groups,0–4 years,0–4 years,12,9.6,
Yuba,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2019,Age groups,5–17 years,5–17 years,"4,029",6,
Alameda,2019,Age groups,5–17 years,5–17 years,147,5.8,
Alpine,2019,Age groups,5–17 years,5–17 years,0,0,
Amador,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2019,Age groups,5–17 years,5–17 years,16,4.8,
Calaveras,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Age groups,5–17 years,5–17 years,0,0,
Contra Costa,2019,Age groups,5–17 years,5–17 years,92,5.2,
Del Norte,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2019,Age groups,5–17 years,5–17 years,176,8.4,
Glenn,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2019,Age groups,5–17 years,5–17 years,63,15.5,
Inyo,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2019,Age groups,5–17 years,5–17 years,97,5.1,
Kings,2019,Age groups,5–17 years,5–17 years,24,6.9,
Lake,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2019,Age groups,5–17 years,5–17 years,"1,237",7.4,
Madera,2019,Age groups,5–17 years,5–17 years,15,4.9,
Marin,2019,Age groups,5–17 years,5–17 years,16,4.4,
Mariposa,2019,Age groups,5–17 years,5–17 years,0,0,
Mendocino,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2019,Age groups,5–17 years,5–17 years,28,4.8,
Modoc,2019,Age groups,5–17 years,5–17 years,0,0,
Mono,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Age groups,5–17 years,5–17 years,40,4.7,
Napa,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2019,Age groups,5–17 years,5–17 years,216,4.1,
Placer,2019,Age groups,5–17 years,5–17 years,27,5,
Plumas,2019,Age groups,5–17 years,5–17 years,0,0,
Riverside,2019,Age groups,5–17 years,5–17 years,218,5,
Sacramento,2019,Age groups,5–17 years,5–17 years,239,9.1,
San Benito,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2019,Age groups,5–17 years,5–17 years,303,7.1,
San Diego,2019,Age groups,5–17 years,5–17 years,374,6.2,
San Francisco,2019,Age groups,5–17 years,5–17 years,79,8.4,
San Joaquin,2019,Age groups,5–17 years,5–17 years,87,6,
San Luis Obispo,2019,Age groups,5–17 years,5–17 years,24,6.5,
San Mateo,2019,Age groups,5–17 years,5–17 years,42,3.6,
Santa Barbara,2019,Age groups,5–17 years,5–17 years,27,3.5,
Santa Clara,2019,Age groups,5–17 years,5–17 years,104,3.2,
Santa Cruz,2019,Age groups,5–17 years,5–17 years,17,3.7,
Shasta,2019,Age groups,5–17 years,5–17 years,17,6.2,
Sierra,2019,Age groups,5–17 years,5–17 years,0,0,
Siskiyou,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2019,Age groups,5–17 years,5–17 years,21,3,
Sonoma,2019,Age groups,5–17 years,5–17 years,12,1.7,
Stanislaus,2019,Age groups,5–17 years,5–17 years,82,7.7,
Sutter,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2019,Age groups,5–17 years,5–17 years,60,5.6,
Tuolumne,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2019,Age groups,5–17 years,5–17 years,27,1.9,
Yolo,2019,Age groups,5–17 years,5–17 years,11,,Rate not available due to statistical instability
Yuba,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2019,Age groups,18–64 years,18–64 years,"7,111",2.8,
Alameda,2019,Age groups,18–64 years,18–64 years,295,2.6,
Alpine,2019,Age groups,18–64 years,18–64 years,0,0,
Amador,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2019,Age groups,18–64 years,18–64 years,64,4.7,
Calaveras,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2019,Age groups,18–64 years,18–64 years,202,2.7,
Del Norte,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Age groups,18–64 years,18–64 years,31,2.7,
Fresno,2019,Age groups,18–64 years,18–64 years,204,3.4,
Glenn,2019,Age groups,18–64 years,18–64 years,0,0,
Humboldt,2019,Age groups,18–64 years,18–64 years,31,3.9,
Imperial,2019,Age groups,18–64 years,18–64 years,28,2.5,
Inyo,2019,Age groups,18–64 years,18–64 years,0,0,
Kern,2019,Age groups,18–64 years,18–64 years,126,2.3,
Kings,2019,Age groups,18–64 years,18–64 years,24,3.1,
Lake,2019,Age groups,18–64 years,18–64 years,21,6.8,
Lassen,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2019,Age groups,18–64 years,18–64 years,"2,150",3.2,
Madera,2019,Age groups,18–64 years,18–64 years,19,1.9,
Marin,2019,Age groups,18–64 years,18–64 years,19,1.1,
Mariposa,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2019,Age groups,18–64 years,18–64 years,60,3.7,
Modoc,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Age groups,18–64 years,18–64 years,73,2.7,
Napa,2019,Age groups,18–64 years,18–64 years,13,1.3,
Nevada,2019,Age groups,18–64 years,18–64 years,13,2.5,
Orange,2019,Age groups,18–64 years,18–64 years,417,2,
Placer,2019,Age groups,18–64 years,18–64 years,38,1.6,
Plumas,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2019,Age groups,18–64 years,18–64 years,399,2.7,
Sacramento,2019,Age groups,18–64 years,18–64 years,349,3.7,
San Benito,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2019,Age groups,18–64 years,18–64 years,455,3.4,
San Diego,2019,Age groups,18–64 years,18–64 years,474,2.3,
San Francisco,2019,Age groups,18–64 years,18–64 years,162,2.7,
San Joaquin,2019,Age groups,18–64 years,18–64 years,132,2.9,
San Luis Obispo,2019,Age groups,18–64 years,18–64 years,25,1.7,
San Mateo,2019,Age groups,18–64 years,18–64 years,60,1.1,
Santa Barbara,2019,Age groups,18–64 years,18–64 years,41,1.6,
Santa Clara,2019,Age groups,18–64 years,18–64 years,228,1.7,
Santa Cruz,2019,Age groups,18–64 years,18–64 years,23,1.4,
Shasta,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2019,Age groups,18–64 years,18–64 years,0,0,
Siskiyou,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2019,Age groups,18–64 years,18–64 years,62,2.2,
Sonoma,2019,Age groups,18–64 years,18–64 years,47,1.4,
Stanislaus,2019,Age groups,18–64 years,18–64 years,150,4.7,
Sutter,2019,Age groups,18–64 years,18–64 years,18,3.1,
Tehama,2019,Age groups,18–64 years,18–64 years,13,4.1,
Trinity,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2019,Age groups,18–64 years,18–64 years,71,2.6,
Tuolumne,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2019,Age groups,18–64 years,18–64 years,119,2.3,
Yolo,2019,Age groups,18–64 years,18–64 years,25,1.9,
Yuba,2019,Age groups,18–64 years,18–64 years,17,3.6,
California,2019,Age groups,65+ years,65+ years,"2,813",4.7,
Alameda,2019,Age groups,65+ years,65+ years,122,5.1,
Alpine,2019,Age groups,65+ years,65+ years,0,0,
Amador,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2019,Age groups,65+ years,65+ years,91,4.7,
